player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Marquese Chriss,Washington,8,39876,13.8235,0.7647,0.9412,1.6176,5.3824,109.3,100.93,2016,6.9,29,1
Pascal Siakam,New Mexico St.,27,37123,12.8235,1.3235,0.8235,1.7941,7.7059,117.8,92.3242,2015,6.9,1203,1
Jerian Grant,Notre Dame,19,23810,13.2857,5.5429,1.2571,0.2286,2.8857,103.3,101.676,2013,6.5,224,1
Jalen Harris,Louisiana Tech,59,47012,10.9259,1.5556,0.8148,0.2593,3.0741,102.9,98.001,2017,6.4,93,1
Tyler Harvey,Eastern Washington,51,25418,7.0952,1.4762,0.7143,0.1429,2.2857,111.7,104.219,2013,6.4,745,1
R.J. Hunter,Georgia St.,28,27935,16.8667,1.7667,1.7333,0.8333,5.0333,112.4,101.408,2013,6.5,311,1
Nick Johnson,Arizona,42,21067,11.5143,3.2,1.9429,0.5714,3.6286,110.3,92.5994,2013,6.3,354,1
Hassan Whiteside,Marshall,33,11351,12.7742,0.2258,0.5484,5.2581,8.9032,101.7,88.111,2010,7.0,166,1
Gordon Hayward,Butler,9,6696,13.0645,2,1.4839,0.9677,6.4839,122.5,88.977,2009,6.8,230,1
Payton Pritchard,Oregon,26,47506,20.4839,5.5484,1.5161,0.0323,4.3226,120.6,100.303,2020,6.2,136,1
Marcus Zegarowski,Creighton,49,65501,16.129,5.0323,1.0968,0.0968,3.7742,112,102.449,2020,6.2,339,1
Daniel Oturu,Minnesota,33,66110,20.096800000000002,1.0645,0.5484,2.4516,11.2581,112,92.067,2020,6.10,253,1
Isaiah Roby,Nebraska,45,44213,11.8286,1.9429,1.2571,1.8857,6.9143,102.9,96.0961,2019,6.8,358,1
Jalen Brunson,Villanova,33,40885,9.575,2.5,0.7,0,1.75,107.9,99.9446,2016,6.2,140,1
Moritz Wagner,Michigan,25,40399,2.8966,0.1379,0.2069,0.2069,1.5862,107.7,104.146,2016,6.10,268,1
Alex Oriakhi,Connecticut,57,14117,9.5854,0.3659,0.3902,1.6341,8.7317,113.7,96.1062,2011,6.9,188,1
Kahlil Felder,Oakland,54,33408,18.1212,7.6364,2,0.2424,4.7879,107.5,109.507,2015,5.9,286,1
Cory Jefferson,Baylor,60,22196,13.5556,1,0.3611,1.2778,8.1389,114.3,102.411,2014,6.9,122,1
Marcus Thornton,William & Mary,45,19793,19.9697,2.8788,0.6364,0.1212,2.7879,111.7,110.674,2015,6.4,23,1
Malik Monk,Kentucky,11,45276,19.8421,2.2895,0.9474,0.5,2.5,115.7,99.9136,2017,6.3,307,1
Ayo Dosunmu,Illinois,38,66420,13.8125,3.25,1.25,0.25,4,102.9,105.229,2019,6.5,229,1
Grant Williams,Tennessee,22,49187,18.8108,3.1622,1.1351,1.4865,7.5135,124.5,96.9792,2019,6.7,286,1
Darius Johnson-Odom,Marquette,55,10809,18.3235,2.7353,0.9412,0.1176,3.5,109.3,97.9151,2012,6.2,198,1
Markel Brown,Oklahoma St.,44,18415,6.4412,1.4412,0.8235,0.9706,2.5294,90.9,98.8048,2011,6.3,286,1
Brandon Clarke,San Jose St.,21,43790,8.75,1.3929,0.75,1.3214,5.6786,117.1,102.181,2016,6.8,26,1
Lance Stephenson,Cincinnati,40,13349,12.3235,2.4706,0.9118,0.1765,5.3529,99.3,99.2715,2010,6.5,235,1
Dejounte Murray,Washington,29,40260,16.1176,4.4706,1.8235,0.2941,5.9706,97.8,100.785,2016,6.4,29,1
Sam Dekker,Wisconsin,18,25362,12.4211,1.3684,0.7632,0.5789,6.0789,114.7,99.6187,2014,6.7,269,1
Mike Muscala,Bucknell,44,14685,17.3824,1.8529,0.4706,1.6471,9.2353,117.8,91.4805,2012,6.10,160,1
Jamaal Franklin,San Diego St.,41,16788,16.625,3.2812,1.625,0.7188,9.375,101.4,85.7859,2013,6.5,133,1
Kris Dunn,Providence,5,25358,16.4242,6.2424,2.4848,0.6061,5.3333,103.6,93.8582,2016,6.4,46,1
Josh Okogie,Georgia Tech,20,46259,18.2083,2.4583,1.75,0.9583,6.25,107.9,100.756,2018,6.4,283,1
