player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted,...16,...17
Michael Gbinije,Duke,49,21893,1.7368,0.1579,0.1579,0.0526,0.8421,112.8,101.393,2012,6.7,120,1,NA,NA
Bradley Beal,Florida,3,22042,14.7568,2.2432,1.3784,0.8378,6.7297,112.3,95.4954,2012,6.3,31,1,NA,NA
Sir'Dominic Pointer,St. John's,53,22208,6.5938,1.5312,1.5938,0.9062,4.625,87.2,102.447,2012,6.5,39,1,NA,NA
Marquis Teague,Kentucky,29,22365,10.025,4.775,0.925,0.275,2.525,99.8,97.6421,2012,6.2,307,1,NA,NA
Cody Zeller,Indiana,4,24010,15.6389,1.25,1.3611,1.1667,6.5556,127,94.7906,2012,6.11,235,1,NA,NA
Doug McDermott,Creighton,11,14955,23.1667,1.5833,0.2222,0.0556,7.6667,121.3,97.5417,2013,6.7,339,1,NA,NA
Adreian Payne,Michigan St.,15,16825,10.4857,0.7143,0.7429,1.2571,7.5143,114.2,87.7897,2013,6.1,263,1,NA,NA
Ray McCallum,Detroit,36,17384,18.4194,4.4516,1.9677,0.5806,5.1613,116.4,101.748,2013,6.1,197,1,NA,NA
Victor Oladipo,Indiana,2,18513,13.6389,2.0556,2.1667,0.7778,6.3333,122.7,85.8364,2013,6.5,235,1,NA,NA
Gorgui Dieng,Louisville,21,18642,9.7879,2,1.3333,2.5152,9.3939,112.6,81.001,2013,6.11,139,1,NA,NA
Alec Brown,Green Bay,50,19005,14.0303,1.1515,0.6061,1.7576,5.9394,97.6,97.9868,2013,7.1,182,1,NA,NA
Alex Len,Maryland,5,19499,11.8947,0.9737,0.2105,2.0526,7.8421,112.7,91.861,2013,7.1,40,1,NA,NA
Otto Porter,Georgetown,3,19628,16.1613,2.7097,1.8387,0.9032,7.4839,118.8,84.1473,2013,6.8,43,1,NA,NA
Marcus Thornton,William & Mary,45,19793,18.9655,2.7931,0.8621,0.5172,2.7586,107.4,109.103,2013,6.4,23,1,NA,NA
Spencer Dinwiddie,Colorado,38,19806,15.303,3,1.3333,0.4848,3.1818,114.7,96.7152,2013,6.5,1635,1,NA,NA
Larry Nance Jr.,Wyoming,27,20039,10.6774,1.1935,1.3548,0.7097,6.8387,111.1,93.2364,2013,6.8,2205,1,NA,NA
Nick Johnson,Arizona,42,21067,11.5143,3.2,1.9429,0.5714,3.6286,110.3,92.5994,2013,6.3,354,1,NA,NA
Trey Burke,Michigan,9,21380,18.5789,6.6316,1.6053,0.5263,3.2105,121.4,98.2568,2013,6,268,1,NA,NA
Aaron White,Iowa,49,22631,13,1.3243,1.1081,0.6757,6.0811,114.5,93.119,2013,6.8,219,1,NA,NA
Jarnell Stokes,Tennessee,35,23999,12.3636,1.2727,0.697,1.1212,9.6364,107.4,94.0974,2013,6.8,286,1,NA,NA
Cody Zeller,Indiana,4,24010,16.5,1.3056,1.0278,1.25,8.0556,119.4,88.1328,2013,7,235,1,NA,NA
Ben McLemore,Kansas,7,24760,15.9189,1.973,1,0.6757,5.1892,118.7,92.3885,2013,6.5,310,1,NA,NA
Anthony Bennett,UNLV,1,25132,15.7941,0.9118,0.7059,1.1765,7.9706,112.8,89.4038,2013,6.8,620,1,NA,NA
Kyle Anderson,UCLA,30,26311,9.6571,3.4857,1.7714,0.8857,8.6286,100.2,90.5974,2013,6.9,115,1,NA,NA
Grant Jerrett,Arizona,40,26323,5.1765,0.5294,0.4706,0.9706,3.5882,114.3,93.2731,2013,6.1,354,1,NA,NA
Cleanthony Early,Wichita St.,34,26859,13.9487,0.5897,0.7436,0.8974,5.4359,113.7,94.4953,2013,6.8,426,1,NA,NA
Nerlens Noel,Kentucky,6,26923,10.4583,1.5833,2.0833,4.4167,9.4583,109,81.3956,2013,6.1,307,1,NA,NA
Denzel Valentine,Michigan St.,14,26984,5.0286,2.4,0.7714,0.3429,4.0571,94.6,92.1638,2013,6.5,263,1,NA,NA
Buddy Hield,Oklahoma,6,27126,7.8148,1.8519,1.2222,0.2593,4.1852,97.2,98.1422,2013,6.3,355,1,NA,NA
Glenn Robinson III,Michigan,40,28109,11,1.0789,1.0263,0.2632,5.3421,128,99.8725,2013,6.6,268,1,NA,NA
Joseph Young,Oregon,43,20453,18.9118,1.9412,1.2941,0.0294,2.8235,128.6,107.423,2014,6.2,136,1,NA,NA
Frank Kaminsky,Wisconsin,9,21292,13.9474,1.2895,0.6842,1.7368,6.3158,124.3,96.2635,2014,7,269,1,NA,NA
Xavier Thames,San Diego St.,59,21860,18.1765,3.2647,1.6471,0.1471,2.9412,120,93.9106,2014,6.3,133,1,NA,NA
Rakeem Christmas,Syracuse,36,23200,5.7941,0.6765,0.4706,1.9412,5.0588,125.7,95.2587,2014,6.9,116,1,NA,NA
Branden Dawson,Michigan St.,56,23692,11.2143,1.6429,1.25,0.8929,8.3214,123.3,93.9835,2014,6.6,263,1,NA,NA
Sam Dekker,Wisconsin,18,25362,12.4211,1.3684,0.7632,0.5789,6.0789,114.7,99.6187,2014,6.7,269,1,NA,NA
Tyler Harvey,Eastern Washington,51,25418,22.3793,2.6207,1.1724,0.2759,4.2759,121,110.982,2014,6.4,745,1,NA,NA
Montrezl Harrell,Louisville,32,26468,14.027,1.2162,1.027,1.3243,8.4054,117.8,86.5667,2014,6.8,139,1,NA,NA
Richaun Holmes,Bowling Green,37,26987,13.3226,0.871,1.0645,2.7097,7.6452,107.9,92.3067,2014,6.8,212,1,NA,NA
Tyrone Wallace,California,60,27397,11.2857,2.7143,1.2571,0.4571,4.1429,103.9,103.898,2014,6.4,93,1,NA,NA
R.J. Hunter,Georgia St.,28,27935,18.1613,1.7097,2,0.9677,4.4839,122,99.4371,2014,6.5,311,1,NA,NA
Andrew Harrison,Kentucky,44,28730,10.85,3.975,0.525,0.225,3.15,102.6,105.004,2014,6.6,307,1,NA,NA
Jarell Martin,LSU,25,28739,10.3438,0.9062,0.8438,0.6875,4.5625,106.1,102.602,2014,6.9,12,1,NA,NA
Cameron Payne,Murray St.,14,29428,17.375,5.3438,1.5938,0.5938,3.625,108.5,103.643,2014,6.2,160,1,NA,NA
George King,Colorado,59,29633,1.5185,0.1852,0.1481,0.037,1.5185,78.8,96.8487,2014,6.5,1635,1,NA,NA
Alec Peters,Valparaiso,54,29744,12.7419,1.3871,0.8065,0.1613,5.0323,109.5,104.228,2014,6.8,196,1,NA,NA
Jabari Bird,California,56,31372,8.2903,1.0645,0.3871,0.2581,1.9677,102.8,108.194,2014,6.6,93,1,NA,NA
