ID,State,City,Lat,Long
289,Alabama,Bon Secour,30.328883,-87.721355
290,Alabama,Booth,32.500278,-86.571944
291,Alabama,Boykin,32.077778,-87.281389
292,Alabama,Brantley,31.570963,-86.274343
293,Alabama,Bremen,33.973664,-87.004281
294,Alabama,Brent,32.93567,-87.211387
295,Alabama,Brewton,31.118926,-87.067325
296,Alabama,Bridgeport,34.944638,-85.727681
297,Alabama,Brierfield,33.042747,-86.951672
298,Alabama,Brilliant,34.037702,-87.756315
299,Alabama,Brooklyn,31.2625,-86.771111
300,Alabama,Brookside,33.637778,-86.916667
301,Alabama,Brookwood,33.277523,-87.309025
302,Alabama,Brownsboro,34.716733,-86.468703
303,Alabama,Brundidge,31.701324,-85.817668
304,Alabama,Bryant,34.945026,-85.632445
305,Alabama,Bucks,31.010278,-88.024167
306,Alabama,Buhl,33.249448,-87.718886
307,Alabama,Burnt Corn,31.458009,-86.925771
308,Alabama,Burnwell,33.707778,-87.0875
309,Alabama,Butler,32.082906,-88.206391
310,Alabama,Bynum,33.613056,-85.961111
311,Alabama,Calera,33.1098,-86.755987
312,Alabama,Calvert,31.160556,-88.031111
313,Alabama,Camden,32.004732,-87.295049
314,Alabama,Camp Hill,32.782749,-85.64738
315,Alabama,Campbell,31.963512,-88.006072
316,Alabama,Capshaw,34.773056,-86.792778
317,Alabama,Carbon Hill,33.909252,-87.540328
318,Alabama,Cardiff,33.645556,-86.933611
319,Alabama,Carlton,31.322449,-87.837793
320,Alabama,Carrollton,33.248506,-88.132122
321,Alabama,Castleberry,31.326113,-87.026754
322,Alabama,Catherine,32.182,-87.483623
323,Alabama,Cecil,32.300891,-86.011241
324,Alabama,Cedar Bluff,34.241662,-85.602567
325,Alabama,Centre,34.111592,-85.609229
326,Alabama,Centreville,32.950324,-87.11924
327,Alabama,Chancellor,31.173379,-85.910897
328,Alabama,Chapman,31.671111,-86.712222
329,Alabama,Chatom,31.487638,-88.269887
330,Alabama,Chelsea,33.371582,-86.614132
331,Alabama,Cherokee,34.744188,-87.972445
332,Alabama,Childersburg,33.266928,-86.337622
333,Alabama,Choccolocco,33.659167,-85.703611
334,Alabama,Chunchula,30.991178,-88.131126
335,Alabama,Citronelle,31.042533,-88.254949
336,Alabama,Clanton,32.835532,-86.642472
337,Alabama,Clay,33.7025,-86.599722
338,Alabama,Clayton,31.887413,-85.450932
339,Alabama,Cleveland,33.992106,-86.559355
340,Alabama,Clinton,32.913611,-87.9925
341,Alabama,Clio,31.68521,-85.590419
342,Alabama,Clopton,31.602843,-85.482308
343,Alabama,Cloverdale,34.938611,-87.771389
344,Alabama,Coaling,33.158889,-87.340833
345,Alabama,Coden,30.418834,-88.168276
346,Alabama,Coffee Springs,31.138758,-85.918224
347,Alabama,Coffeeville,31.78428,-88.071542
348,Alabama,Coker,33.252612,-87.636528
349,Alabama,Collinsville,34.267957,-85.861969
350,Alabama,Columbia,31.335235,-85.145488
351,Alabama,Columbiana,33.176964,-86.616145
352,Alabama,Cook Springs,33.589722,-86.361944
353,Alabama,Coosada,32.496667,-86.331667
354,Alabama,Cordova,33.768033,-87.18406
355,Alabama,Cottondale,33.176667,-87.387051
356,Alabama,Cottonton,32.146667,-85.073889
357,Alabama,Cottonwood,31.098934,-85.375665
358,Alabama,Courtland,34.671866,-87.314255
359,Alabama,Cowarts,31.2,-85.304722
360,Alabama,Coy,31.888851,-87.392558
361,Alabama,Cragford,33.217148,-85.710797
362,Alabama,Crane Hill,34.082117,-87.048395
363,Alabama,Creola,30.901267,-88.017414
364,Alabama,Cropwell,33.506448,-86.280026
365,Alabama,Crossville,34.258784,-86.030575
366,Alabama,Cuba,32.410973,-88.361083
367,Alabama,Cullman,34.176146,-86.829777
368,Alabama,Cusseta,32.803194,-85.215791
369,Alabama,Dadeville,32.82239,-85.770395
370,Alabama,Daleville,31.281091,-85.730473
371,Alabama,Danville,34.452189,-87.053187
372,Alabama,Daphne,30.61972,-87.889522
373,Alabama,Dauphin Island,30.252057,-88.109644
374,Alabama,Daviston,33.033471,-85.753831
375,Alabama,Dawson,34.356838,-85.929161
376,Alabama,De Armanville,33.626389,-85.751389
377,Alabama,Deatsville,32.613405,-86.338211
378,Alabama,Decatur,34.589599,-86.98868
379,Alabama,Deer Park,31.184892,-88.32731
380,Alabama,Delmar,34.17,-87.605833
381,Alabama,Delta,33.457303,-85.679279
382,Alabama,Demopolis,32.490792,-87.839669
383,Alabama,Detroit,34.010874,-88.16063
384,Alabama,Dickinson,31.717167,-87.656929
385,Alabama,Dixons Mills,32.067209,-87.745356
386,Alabama,Docena,33.559444,-86.931111
387,Alabama,Dolomite,33.465424,-86.956435
388,Alabama,Dora,33.734947,-87.040148
389,Alabama,Dothan,31.202888,-85.418036
390,Alabama,Double Springs,34.138682,-87.397431
391,Alabama,Douglas,34.173611,-86.323611
392,Alabama,Dozier,31.506614,-86.366315
393,Alabama,Duncanville,33.082815,-87.494977
394,Alabama,Dutton,34.604558,-85.906729
395,Alabama,East Tallassee,32.607222,-85.808056
396,Alabama,Eastaboga,33.603132,-85.96075
397,Alabama,Echola,33.316559,-87.807202
398,Alabama,Eclectic,32.65419,-86.031614
399,Alabama,Edwardsville,33.707222,-85.509167
400,Alabama,Eight Mile,30.795074,-88.182311
401,Alabama,Elba,31.41373,-86.077728
402,Alabama,Elberta,30.394239,-87.58896
403,Alabama,Eldridge,33.931546,-87.619397
404,Alabama,Elkmont,34.915241,-86.910452
405,Alabama,Elmore,32.545378,-86.316134
406,Alabama,Elrod,33.343678,-87.801429
407,Alabama,Emelle,32.754963,-88.305747
408,Alabama,Empire,33.825589,-87.016139
409,Alabama,Enterprise,31.340789,-85.842111
410,Alabama,Epes,32.763371,-88.161443
411,Alabama,Equality,32.813908,-86.105064
412,Alabama,Estillfork,34.913017,-86.171571
413,Alabama,Ethelsville,33.386816,-88.221987
414,Alabama,Eufaula,31.905063,-85.165605
415,Alabama,Eutaw,32.888871,-87.930297
416,Alabama,Eva,34.347778,-86.704427
417,Alabama,Excel,31.427778,-87.341389
418,Alabama,Fackler,34.82589,-85.984648
419,Alabama,Fairfield,33.473494,-86.918262
420,Alabama,Fairhope,30.50116,-87.883546
421,Alabama,Falkville,34.347653,-86.913086
422,Alabama,Faunsdale,32.423259,-87.618079
423,Alabama,Fayette,33.697397,-87.834647
424,Alabama,Fitzpatrick,32.151607,-85.888329
425,Alabama,Five Points,33.042408,-85.324264
426,Alabama,Flat Rock,34.807598,-85.708372
427,Alabama,Flomaton,31.040233,-87.266365
428,Alabama,Florala,31.017194,-86.338528
429,Alabama,Florence,34.830547,-87.655985
430,Alabama,Foley,30.400664,-87.685737
431,Alabama,Forest Home,31.85318,-86.786377
432,Alabama,Forkland,32.644661,-87.881676
433,Alabama,Fort Davis,32.28945,-85.700688
434,Alabama,Fort Deposit,31.995979,-86.576142
435,Alabama,Fort Mitchell,32.341389,-85.021667
436,Alabama,Fort Payne,34.436792,-85.712394
437,Alabama,Fort Rucker,31.348011,-85.721374
438,Alabama,Fosters,33.135859,-87.735688
439,Alabama,Franklin,31.723815,-87.441237
440,Alabama,Frankville,31.64684,-88.133185
441,Alabama,Frisco City,31.423478,-87.381744
442,Alabama,Fruitdale,31.348843,-88.376597
443,Alabama,Fruithurst,33.771732,-85.43814
444,Alabama,Fulton,31.790947,-87.708065
